Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth,Year,Month,Day
2020-07-04,32.22222222222222,26.11111111111111,29.166666666666668,1.5,0,20,0.7619999999999999,0,0.0,2020,7,4
2020-07-05,32.77777777777778,26.11111111111111,29.444444444444443,2.1,0,20,1.778,0,0.0,2020,7,5
2020-07-06,31.666666666666668,26.666666666666668,29.166666666666668,1.6,0,20,0.0,0,0.0,2020,7,6
2020-07-07,31.666666666666668,26.11111111111111,28.88888888888889,1.1,0,19,0.508,0,0.0,2020,7,7
2020-07-08,31.666666666666668,26.666666666666668,29.166666666666668,1.7,0,20,0.508,0,0.0,2020,7,8
2020-07-09,32.22222222222222,26.666666666666668,29.72222222222222,2.7,0,21,1.016,0,0.0,2020,7,9
2020-07-10,32.22222222222222,25.555555555555557,28.88888888888889,1.3,0,19,0.254,0,0.0,2020,7,10
2020-07-11,31.666666666666668,25.0,28.333333333333332,0.3,0,18,21.336,0,0.0,2020,7,11
2020-07-12,32.77777777777778,26.666666666666668,29.72222222222222,2.5,0,21,1.778,0,0.0,2020,7,12
2020-07-13,31.666666666666668,24.444444444444443,28.055555555555557,-0.1,0,18,20.066,0,0.0,2020,7,13
2020-07-14,31.666666666666668,26.666666666666668,29.166666666666668,1.9,0,20,0.0,0,0.0,2020,7,14
2020-07-15,32.22222222222222,27.22222222222222,29.72222222222222,3.0,0,21,2.032,0,0.0,2020,7,15
2020-07-16,32.22222222222222,27.22222222222222,29.72222222222222,3.0,0,21,0.508,0,0.0,2020,7,16
2020-07-17,32.22222222222222,25.555555555555557,28.88888888888889,1.6,0,19,19.558,0,0.0,2020,7,17
2020-07-18,31.666666666666668,25.555555555555557,28.61111111111111,1.1,0,19,8.889999999999999,0,0.0,2020,7,18
2020-07-19,31.11111111111111,26.666666666666668,28.88888888888889,1.6,0,19,5.334,0,0.0,2020,7,19
2020-07-20,32.77777777777778,25.555555555555557,29.166666666666668,2.2,0,20,25.4,0,0.0,2020,7,20
2020-07-21,31.666666666666668,25.555555555555557,28.61111111111111,1.2,0,19,1.016,0,0.0,2020,7,21
2020-07-22,31.666666666666668,25.555555555555557,28.61111111111111,1.3,0,19,0.508,0,0.0,2020,7,22
2020-07-23,31.11111111111111,26.11111111111111,28.61111111111111,1.3,0,19,2.54,0,0.0,2020,7,23
2020-07-24,31.666666666666668,26.666666666666668,29.72222222222222,3.3,0,21,8.128,0,0.0,2020,7,24
2020-07-25,32.77777777777778,25.0,28.333333333333332,0.6,0,18,11.43,0,0.0,2020,7,25
2020-07-26,29.444444444444443,25.555555555555557,27.5,-0.6,0,17,11.684,0,0.0,2020,7,26
2020-07-27,30.555555555555557,25.0,27.77777777777778,-0.1,0,17,29.463999999999995,0,0.0,2020,7,27
2020-07-28,30.0,24.444444444444443,27.22222222222222,-1.1,0,16,5.588,0,0.0,2020,7,28
2020-07-29,31.11111111111111,24.444444444444443,27.77777777777778,0.0,0,17,16.002,0,0.0,2020,7,29
2020-07-30,32.77777777777778,25.555555555555557,29.166666666666668,2.5,0,20,3.302,0,0.0,2020,7,30
2020-07-31,32.77777777777778,26.666666666666668,29.72222222222222,3.5,0,21,1.016,0,0.0,2020,7,31
2020-08-01,31.666666666666668,27.22222222222222,29.444444444444443,3.5,0,21,0.254,0,0.0,2020,8,1
2020-08-02,31.666666666666668,27.77777777777778,29.72222222222222,3.0,0,21,5.334,0,0.0,2020,8,2
2020-08-03,31.666666666666668,25.555555555555557,28.61111111111111,1.6,0,19,7.365999999999999,0,0.0,2020,8,3
2020-08-04,32.22222222222222,26.11111111111111,29.166666666666668,2.6,0,20,1.27,0,0.0,2020,8,4
2020-08-05,31.11111111111111,27.22222222222222,29.444444444444443,3.1,0,20,4.3180000000000005,0,0.0,2020,8,5
2020-08-06,31.11111111111111,26.666666666666668,28.88888888888889,2.1,0,19,1.016,0,0.0,2020,8,6
2020-08-07,31.666666666666668,26.666666666666668,29.166666666666668,2.6,0,20,0.7619999999999999,0,0.0,2020,8,7
2020-08-08,31.11111111111111,26.11111111111111,28.61111111111111,1.6,0,19,6.604,0,0.0,2020,8,8
2020-08-09,31.11111111111111,25.555555555555557,28.333333333333332,1.1,0,18,5.842,0,0.0,2020,8,9
2020-08-10,32.77777777777778,26.11111111111111,29.444444444444443,3.1,0,20,10.413999999999998,0,0.0,2020,8,10
2020-08-11,32.22222222222222,26.11111111111111,29.166666666666668,2.6,0,20,2.54,0,0.0,2020,8,11
2020-08-12,31.11111111111111,25.0,28.055555555555557,0.6,0,18,4.571999999999999,0,0.0,2020,8,12
2020-08-13,29.444444444444443,24.444444444444443,26.944444444444443,-1.3,0,16,7.365999999999999,0,0.0,2020,8,13
2020-08-14,31.666666666666668,24.444444444444443,28.055555555555557,0.7,0,18,3.302,0,0.0,2020,8,14
2020-08-15,31.11111111111111,25.0,28.055555555555557,0.7,0,18,0.7619999999999999,0,0.0,2020,8,15
2020-08-16,30.0,25.555555555555557,27.77777777777778,0.2,0,17,24.383999999999997,0,0.0,2020,8,16
2020-08-17,32.22222222222222,25.0,28.61111111111111,1.7,0,19,0.0,0,0.0,2020,8,17
2020-08-18,31.11111111111111,26.666666666666668,28.88888888888889,2.2,0,19,2.032,0,0.0,2020,8,18
2020-08-19,31.666666666666668,26.11111111111111,28.88888888888889,2.2,0,19,2.2859999999999996,0,0.0,2020,8,19
2020-08-20,30.0,25.555555555555557,27.77777777777778,0.2,0,17,1.27,0,0.0,2020,8,20
2020-08-21,31.666666666666668,25.555555555555557,28.61111111111111,1.7,0,19,0.0,0,0.0,2020,8,21
2020-08-22,32.22222222222222,25.555555555555557,28.88888888888889,2.2,0,19,37.592,0,0.0,2020,8,22
2020-08-23,31.666666666666668,25.555555555555557,28.61111111111111,1.7,0,19,0.0,0,0.0,2020,8,23
2020-08-24,32.22222222222222,25.0,28.61111111111111,1.7,0,19,14.224,0,0.0,2020,8,24
2020-08-25,30.555555555555557,23.88888888888889,27.22222222222222,-0.8,0,16,3.0479999999999996,0,0.0,2020,8,25
2020-08-26,31.11111111111111,25.0,28.055555555555557,0.7,0,18,0.254,0,0.0,2020,8,26
2020-08-27,30.0,22.77777777777778,26.38888888888889,-2.3,0,15,96.52,0,0.0,2020,8,27
2020-08-28,27.77777777777778,23.88888888888889,25.833333333333332,-3.3,0,14,45.211999999999996,0,0.0,2020,8,28
2020-08-29,28.88888888888889,23.88888888888889,26.38888888888889,-2.3,0,15,31.241999999999997,0,0.0,2020,8,29
2020-08-30,31.11111111111111,23.88888888888889,27.5,-0.3,0,17,0.0,0,0.0,2020,8,30
2020-08-31,30.0,25.0,27.5,-0.3,0,17,2.2859999999999996,0,0.0,2020,8,31
2020-09-01,30.0,25.0,27.5,-0.3,0,17,2.794,0,0.0,2020,9,1
2020-09-02,31.11111111111111,25.555555555555557,28.333333333333332,1.2,0,18,0.508,0,0.0,2020,9,2
2020-09-03,32.22222222222222,26.11111111111111,29.166666666666668,2.7,0,20,10.921999999999999,0,0.0,2020,9,3
